true_Nc,target_fis,n_sample_prop,n_loci,num_N_hypothesized,N_try_max_factor,replicate,method,num_N_hypothesized,N_try_max_factor,N_est
150,0.001,0.2,5000,15,3,9,wasserstein,15,3,25.7317317317317
150,0.001,0.2,5000,15,3,9,bhd,15,3,31.5375375375375
150,0.001,0.2,5000,15,3,9,betabin,15,3,24
150,0.001,0.2,5000,15,3,9,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,10,wasserstein,15,3,25.861
150,0.001,0.2,5000,15,3,10,bhd,15,3,31.83
150,0.001,0.2,5000,15,3,10,betabin,15,3,24
150,0.001,0.2,5000,15,3,10,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,11,wasserstein,15,3,26.012
150,0.001,0.2,5000,15,3,11,bhd,15,3,32.419
150,0.001,0.2,5000,15,3,11,betabin,15,3,24
150,0.001,0.2,5000,15,3,11,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,12,wasserstein,15,3,25.965
150,0.001,0.2,5000,15,3,12,bhd,15,3,31.998
150,0.001,0.2,5000,15,3,12,betabin,15,3,24
150,0.001,0.2,5000,15,3,12,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,13,wasserstein,15,3,25.826
150,0.001,0.2,5000,15,3,13,bhd,15,3,32.507
150,0.001,0.2,5000,15,3,13,betabin,15,3,24
150,0.001,0.2,5000,15,3,13,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,14,wasserstein,15,3,26.098
150,0.001,0.2,5000,15,3,14,bhd,15,3,31.811
150,0.001,0.2,5000,15,3,14,betabin,15,3,24
150,0.001,0.2,5000,15,3,14,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,15,wasserstein,15,3,25.7717717717718
150,0.001,0.2,5000,15,3,15,bhd,15,3,31.970970970971
150,0.001,0.2,5000,15,3,15,betabin,15,3,24
150,0.001,0.2,5000,15,3,15,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,16,wasserstein,15,3,25.951
150,0.001,0.2,5000,15,3,16,bhd,15,3,32.416
150,0.001,0.2,5000,15,3,16,betabin,15,3,24
150,0.001,0.2,5000,15,3,16,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,17,wasserstein,15,3,26.056
150,0.001,0.2,5000,15,3,17,bhd,15,3,31.583
150,0.001,0.2,5000,15,3,17,betabin,15,3,24
150,0.001,0.2,5000,15,3,17,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,18,wasserstein,15,3,26.089
150,0.001,0.2,5000,15,3,18,bhd,15,3,31.968
150,0.001,0.2,5000,15,3,18,betabin,15,3,24
150,0.001,0.2,5000,15,3,18,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,19,wasserstein,15,3,25.859
150,0.001,0.2,5000,15,3,19,bhd,15,3,31.74
150,0.001,0.2,5000,15,3,19,betabin,15,3,24
150,0.001,0.2,5000,15,3,19,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,20,wasserstein,15,3,25.909
150,0.001,0.2,5000,15,3,20,bhd,15,3,31.995
150,0.001,0.2,5000,15,3,20,betabin,15,3,24
150,0.001,0.2,5000,15,3,20,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,6,1,wasserstein,15,6,25.3663663663664
150,0.001,0.2,5000,15,6,1,bhd,15,6,37.9369369369369
150,0.001,0.2,5000,15,6,1,betabin,15,6,24
150,0.001,0.2,5000,15,6,1,betabin_dynamic,15,6,NA
150,0.001,0.2,5000,15,6,2,wasserstein,15,6,25.617
150,0.001,0.2,5000,15,6,2,bhd,15,6,38.106
150,0.001,0.2,5000,15,6,2,betabin,15,6,24
150,0.001,0.2,5000,15,6,2,betabin_dynamic,15,6,NA
150,0.001,0.2,5000,15,6,3,wasserstein,15,6,25.419
150,0.001,0.2,5000,15,6,3,bhd,15,6,37.863
150,0.001,0.2,5000,15,6,3,betabin,15,6,24
150,0.001,0.2,5000,15,6,3,betabin_dynamic,15,6,NA
150,0.001,0.2,5000,15,6,4,wasserstein,15,6,25.672
150,0.001,0.2,5000,15,6,4,bhd,15,6,37.962
150,0.001,0.2,5000,15,6,4,betabin,15,6,24
150,0.001,0.2,5000,15,6,4,betabin_dynamic,15,6,NA
150,0.001,0.2,5000,15,6,5,wasserstein,15,6,25.597
150,0.001,0.2,5000,15,6,5,bhd,15,6,37.888
150,0.001,0.2,5000,15,6,5,betabin,15,6,24
150,0.001,0.2,5000,15,6,5,betabin_dynamic,15,6,NA
150,0.001,0.2,5000,15,6,6,wasserstein,15,6,25.595
150,0.001,0.2,5000,15,6,6,bhd,15,6,37.648
150,0.001,0.2,5000,15,6,6,betabin,15,6,24
