"true_Nc","sample_prop","n_sample","AFS","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
100,0.3,30,"beta_L_shaped",13,"wasserstein",51,3,27.5555555555556,-0.724444444444444
100,0.3,30,"beta_L_shaped",13,"bhd",51,3,58.8,-0.412
100,0.3,30,"beta_L_shaped",13,"sherwin",51,3,29.5111111111111,-0.704888888888889
100,0.3,30,"beta_L_shaped",13,"nll",51,3,35.0444444444444,-0.649555555555556
100,0.3,30,"beta_L_shaped",14,"wasserstein",51,3,26.2,-0.738
100,0.3,30,"beta_L_shaped",14,"bhd",51,3,55.5777777777778,-0.444222222222222
100,0.3,30,"beta_L_shaped",14,"sherwin",51,3,26.2,-0.738
100,0.3,30,"beta_L_shaped",14,"nll",51,3,26.2,-0.738
100,0.3,30,"beta_L_shaped",15,"wasserstein",51,3,26.5652173913043,-0.734347826086957
100,0.3,30,"beta_L_shaped",15,"bhd",51,3,65.9565217391304,-0.340434782608696
100,0.3,30,"beta_L_shaped",15,"sherwin",51,3,26.5652173913043,-0.734347826086957
100,0.3,30,"beta_L_shaped",15,"nll",51,3,26.5652173913043,-0.734347826086957
100,0.3,30,"beta_L_shaped",16,"wasserstein",51,3,25.936170212766,-0.74063829787234
100,0.3,30,"beta_L_shaped",16,"bhd",51,3,63.8936170212766,-0.361063829787234
100,0.3,30,"beta_L_shaped",16,"sherwin",51,3,25.936170212766,-0.74063829787234
100,0.3,30,"beta_L_shaped",16,"nll",51,3,25.936170212766,-0.74063829787234
100,0.3,30,"beta_L_shaped",17,"wasserstein",51,3,26.2173913043478,-0.737826086956522
100,0.3,30,"beta_L_shaped",17,"bhd",51,3,49.9130434782609,-0.500869565217391
100,0.3,30,"beta_L_shaped",17,"sherwin",51,3,26.2173913043478,-0.737826086956522
100,0.3,30,"beta_L_shaped",17,"nll",51,3,26.2173913043478,-0.737826086956522
100,0.3,30,"beta_L_shaped",18,"wasserstein",51,3,26.1521739130435,-0.738478260869565
100,0.3,30,"beta_L_shaped",18,"bhd",51,3,58.2173913043478,-0.417826086956522
100,0.3,30,"beta_L_shaped",18,"sherwin",51,3,26.3695652173913,-0.736304347826087
100,0.3,30,"beta_L_shaped",18,"nll",51,3,29.6739130434783,-0.703260869565217
100,0.3,30,"beta_L_shaped",19,"wasserstein",51,3,26.8695652173913,-0.731304347826087
100,0.3,30,"beta_L_shaped",19,"bhd",51,3,64.7826086956522,-0.352173913043478
100,0.3,30,"beta_L_shaped",19,"sherwin",51,3,26.8695652173913,-0.731304347826087
100,0.3,30,"beta_L_shaped",19,"nll",51,3,26.8695652173913,-0.731304347826087
100,0.3,30,"beta_L_shaped",20,"wasserstein",51,3,26.304347826087,-0.73695652173913
100,0.3,30,"beta_L_shaped",20,"bhd",51,3,58.4782608695652,-0.415217391304348
100,0.3,30,"beta_L_shaped",20,"sherwin",51,3,26.4347826086957,-0.735652173913043
100,0.3,30,"beta_L_shaped",20,"nll",51,3,26.4347826086957,-0.735652173913043
100,0.3,30,"beta_L_shaped",21,"wasserstein",51,3,25.9090909090909,-0.740909090909091
100,0.3,30,"beta_L_shaped",21,"bhd",51,3,62.2727272727273,-0.377272727272727
100,0.3,30,"beta_L_shaped",21,"sherwin",51,3,25.9090909090909,-0.740909090909091
100,0.3,30,"beta_L_shaped",21,"nll",51,3,25.9090909090909,-0.740909090909091
100,0.3,30,"beta_L_shaped",22,"wasserstein",51,3,26.0888888888889,-0.739111111111111
100,0.3,30,"beta_L_shaped",22,"bhd",51,3,60.2888888888889,-0.397111111111111
100,0.3,30,"beta_L_shaped",22,"sherwin",51,3,26.0888888888889,-0.739111111111111
100,0.3,30,"beta_L_shaped",22,"nll",51,3,26.0888888888889,-0.739111111111111
100,0.3,30,"beta_L_shaped",23,"wasserstein",51,3,26.1666666666667,-0.738333333333333
100,0.3,30,"beta_L_shaped",23,"bhd",51,3,55.5,-0.445
100,0.3,30,"beta_L_shaped",23,"sherwin",51,3,26.1666666666667,-0.738333333333333
100,0.3,30,"beta_L_shaped",23,"nll",51,3,26.1666666666667,-0.738333333333333
