"true_Nc","target_fis","n_sample_prop","n_loci","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
150,0.05,0.5,5000,"wasserstein",51,6,-0.544819666666667,-0.545296666666667,81.7249096564199,0.00850438739334826
150,0.05,0.7,1000,"betabin",15,3,-0.44,-0.44,66,0
150,0.05,0.7,1000,"betabin",15,6,-0.44,-0.44,66,0
150,0.05,0.7,1000,"betabin",51,3,-0.44,-0.44,66,0
150,0.05,0.7,1000,"betabin",51,6,-0.44,-0.44,66,0
150,0.05,0.7,1000,"betabin_dynamic",15,3,1.1,1.1,165,0
150,0.05,0.7,1000,"betabin_dynamic",15,6,3.2,3.2,480,0
150,0.05,0.7,1000,"betabin_dynamic",51,3,1.1,1.1,165,0
150,0.05,0.7,1000,"betabin_dynamic",51,6,3.2,3.2,480,0
150,0.05,0.7,1000,"bhd",15,3,-0.157666666666667,-0.16075,23.7891626061112,0.0208637675206051
150,0.05,0.7,1000,"bhd",15,6,-0.00904999999999997,-0.0135999999999999,4.71526377841155,0.031168324751495
150,0.05,0.7,1000,"bhd",51,3,-0.233473333333333,-0.233416666666667,35.0835096590977,0.0186795415602951
150,0.05,0.7,1000,"bhd",51,6,-0.156676666666667,-0.154983333333333,24.1564771852189,0.0453141366903735
150,0.05,0.7,1000,"wasserstein",15,3,-0.344068333333333,-0.343533333333333,51.6285690412779,0.014340398663279
150,0.05,0.7,1000,"wasserstein",15,6,-0.31286,-0.31715,47.0535590311721,0.0340575146121895
150,0.05,0.7,1000,"wasserstein",51,3,-0.369346666666667,-0.368766666666667,55.4088993754613,0.00948314459382309
150,0.05,0.7,1000,"wasserstein",51,6,-0.368543333333333,-0.367816666666667,55.2896034530905,0.0102531962174427
150,0.05,0.7,5000,"betabin",15,3,-0.44,-0.44,66,0
150,0.05,0.7,5000,"betabin",15,6,-0.44,-0.44,66,0
150,0.05,0.7,5000,"betabin",51,3,-0.44,-0.44,66,0
150,0.05,0.7,5000,"betabin",51,6,-0.44,-0.44,66,0
150,0.05,0.7,5000,"betabin_dynamic",15,3,1.1,1.1,165,0
150,0.05,0.7,5000,"betabin_dynamic",15,6,3.2,3.2,480,0
150,0.05,0.7,5000,"betabin_dynamic",51,3,1.1,1.1,165,0
150,0.05,0.7,5000,"betabin_dynamic",51,6,3.2,3.2,480,0
150,0.05,0.7,5000,"bhd",15,3,-0.168129,-0.168193333333333,25.2376378460822,0.00789828667966597
150,0.05,0.7,5000,"bhd",15,6,-0.005891,-0.00671000000000002,1.83904685910936,0.0110969718013406
150,0.05,0.7,5000,"bhd",51,3,-0.236255,-0.23648,35.462860088408,0.0118299160474861
150,0.05,0.7,5000,"bhd",51,6,-0.149552666666667,-0.149453333333333,22.5226695442614,0.0161568159163975
150,0.05,0.7,5000,"wasserstein",15,3,-0.341996666666667,-0.34144,51.3017379988242,0.00498109783788389
150,0.05,0.7,5000,"wasserstein",15,6,-0.311703,-0.31026,46.7636462313409,0.00870018156835436
150,0.05,0.7,5000,"wasserstein",51,3,-0.369211666666667,-0.369276666666667,55.3827243989495,0.00356231184587174
150,0.05,0.7,5000,"wasserstein",51,6,-0.365842333333333,-0.366683333333333,54.8805409125129,0.00731509358518639
600,0.001,0.1,1000,"betabin",15,3,-0.92,-0.92,552,0
600,0.001,0.1,1000,"betabin",15,6,-0.92,-0.92,552,0
600,0.001,0.1,1000,"betabin",51,3,-0.92,-0.92,552,0
600,0.001,0.1,1000,"betabin",51,6,-0.92,-0.92,552,0
600,0.001,0.1,1000,"betabin_dynamic",15,3,NA,NA,NA,NA
600,0.001,0.1,1000,"betabin_dynamic",15,6,-0.4,-0.4,240,NA
600,0.001,0.1,1000,"betabin_dynamic",51,3,-0.7,-0.7,420,NA
600,0.001,0.1,1000,"betabin_dynamic",51,6,NA,NA,NA,NA
600,0.001,0.1,1000,"bhd",15,3,-0.895814583333333,-0.8963875,537.489339944291,0.01307029295395
600,0.001,0.1,1000,"bhd",15,6,-0.87976,-0.880275,527.856498823307,0.0103201065146008
600,0.001,0.1,1000,"bhd",51,3,-0.9061575,-0.906091666666667,543.694612965312,0.00638634565361805
600,0.001,0.1,1000,"bhd",51,6,-0.90074625,-0.900925,540.448241220887,0.012553660755019
600,0.001,0.1,1000,"wasserstein",15,3,-0.909165416666667,-0.909295833333333,545.499764561132,0.0141047822746422
600,0.001,0.1,1000,"wasserstein",15,6,-0.913691666666667,-0.913833333333333,548.215445053311,0.0138398307202763
600,0.001,0.1,1000,"wasserstein",51,3,-0.912734166666667,-0.912695833333333,547.640577482166,0.00570829455024812
600,0.001,0.1,1000,"wasserstein",51,6,-0.911532083333333,-0.911583333333333,546.91933876601,0.00602283710601639
600,0.001,0.1,5000,"betabin",15,3,-0.92,-0.92,552,0
600,0.001,0.1,5000,"betabin",15,6,-0.92,-0.92,552,0
600,0.001,0.1,5000,"betabin",51,3,-0.92,-0.92,552,0
600,0.001,0.1,5000,"betabin",51,6,-0.92,-0.92,552,0
600,0.001,0.1,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
600,0.001,0.1,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
600,0.001,0.1,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
600,0.001,0.1,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
600,0.001,0.1,5000,"bhd",15,3,-0.895172583333333,-0.895040833333333,537.10361639813,0.00435646281851943
600,0.001,0.1,5000,"bhd",15,6,-0.880063666666667,-0.880135,528.038286785532,0.0043162593458196
600,0.001,0.1,5000,"bhd",51,3,-0.90589375,-0.905935833333333,543.536290929088,0.00383277897041699
600,0.001,0.1,5000,"bhd",51,6,-0.90050625,-0.9005875,540.303896843943,0.00684625677328368
600,0.001,0.1,5000,"wasserstein",15,3,-0.90850275,-0.908465,545.101768575052,0.00671938209966944
600,0.001,0.1,5000,"wasserstein",15,6,-0.914055,-0.914004166666667,548.433070546626,0.00553453648789044
600,0.001,0.1,5000,"wasserstein",51,3,-0.912711916666667,-0.912678333333333,547.627163567011,0.00238798484853873
600,0.001,0.1,5000,"wasserstein",51,6,-0.911331416666667,-0.9113625,546.798872846817,0.00304830789803578
600,0.001,0.2,1000,"betabin",15,3,-0.84,-0.84,504,0
