"true_Nc","sample_prop","AFS","N_est"
250,0.2,"uniform",45.1616161616162
250,0.2,"uniform",46.93
500,0.2,"uniform",89.69
500,0.2,"uniform",89.75
500,0.2,"uniform",88.99
500,0.2,"uniform",90.36
500,0.2,"uniform",89.42
500,0.2,"uniform",90.04
500,0.2,"uniform",88.57
500,0.2,"uniform",91.32
500,0.2,"uniform",90.6
500,0.2,"uniform",88.94
500,0.2,"uniform",90.85
500,0.2,"uniform",90.86
500,0.2,"uniform",91.63
500,0.2,"uniform",87.85
500,0.2,"uniform",90.11
500,0.2,"uniform",90.66
500,0.2,"uniform",90.97
500,0.2,"uniform",90.11
500,0.2,"uniform",88.42
500,0.2,"uniform",92.38
500,0.2,"uniform",89.74
500,0.2,"uniform",90.45
500,0.2,"uniform",90.81
500,0.2,"uniform",90.37
500,0.2,"uniform",90.48
500,0.2,"uniform",90.27
500,0.2,"uniform",91.03
500,0.2,"uniform",89.05
500,0.2,"uniform",90.08
500,0.2,"uniform",90.54
500,0.2,"uniform",90.56
500,0.2,"uniform",90.15
500,0.2,"uniform",91.42
500,0.2,"uniform",89.53
500,0.2,"uniform",90.15
500,0.2,"uniform",90.14
500,0.2,"uniform",89.84
500,0.2,"uniform",90.99
500,0.2,"uniform",90.87
500,0.2,"uniform",89.81
500,0.2,"uniform",90.29
500,0.2,"uniform",90.21
500,0.2,"uniform",90.73
500,0.2,"uniform",89.21
500,0.2,"uniform",88.98
500,0.2,"uniform",90.78
500,0.2,"uniform",89.58
500,0.2,"uniform",91.09
500,0.2,"uniform",89.54
500,0.2,"uniform",89.24
1000,0.2,"uniform",199.39
1000,0.2,"uniform",188.26
1000,0.2,"uniform",196.62
1000,0.2,"uniform",190.27
1000,0.2,"uniform",185.57
1000,0.2,"uniform",192.31
1000,0.2,"uniform",193.84
1000,0.2,"uniform",191.58
1000,0.2,"uniform",194.76
1000,0.2,"uniform",191.59
1000,0.2,"uniform",192.24
1000,0.2,"uniform",184.21
1000,0.2,"uniform",181.83
1000,0.2,"uniform",185.84
1000,0.2,"uniform",187.9
1000,0.2,"uniform",187.23
1000,0.2,"uniform",192.26
1000,0.2,"uniform",189.99
1000,0.2,"uniform",184.08
1000,0.2,"uniform",185.07
1000,0.2,"uniform",187.02
1000,0.2,"uniform",186.88
1000,0.2,"uniform",187.78
1000,0.2,"uniform",186.96
1000,0.2,"uniform",187.38
1000,0.2,"uniform",182.46
1000,0.2,"uniform",185.73
1000,0.2,"uniform",184.15
1000,0.2,"uniform",186.72
1000,0.2,"uniform",194.51
1000,0.2,"uniform",186.09
1000,0.2,"uniform",187.27
1000,0.2,"uniform",185.13
1000,0.2,"uniform",194.66
1000,0.2,"uniform",192.46
1000,0.2,"uniform",191.04
1000,0.2,"uniform",185.71
1000,0.2,"uniform",185.44
1000,0.2,"uniform",182.48
1000,0.2,"uniform",187.23
1000,0.2,"uniform",187.9
1000,0.2,"uniform",186.58
1000,0.2,"uniform",186.93
1000,0.2,"uniform",190.66
1000,0.2,"uniform",185.38
1000,0.2,"uniform",187.57
1000,0.2,"uniform",187.9
1000,0.2,"uniform",197.18
1000,0.2,"uniform",190.26
1000,0.2,"uniform",195.63
2000,0.2,"uniform",373.47
2000,0.2,"uniform",409.85
2000,0.2,"uniform",365.18
2000,0.2,"uniform",397.02
2000,0.2,"uniform",393.32
2000,0.2,"uniform",369.8
2000,0.2,"uniform",385.42
2000,0.2,"uniform",392.43
2000,0.2,"uniform",373.48
2000,0.2,"uniform",370.65
2000,0.2,"uniform",378.93
2000,0.2,"uniform",379.46
2000,0.2,"uniform",372.42
2000,0.2,"uniform",366.79
2000,0.2,"uniform",352.89
2000,0.2,"uniform",371.53
2000,0.2,"uniform",378.38
2000,0.2,"uniform",367
2000,0.2,"uniform",383.14
2000,0.2,"uniform",401.77
2000,0.2,"uniform",414.08
2000,0.2,"uniform",356.22
2000,0.2,"uniform",396.35
2000,0.2,"uniform",368.19
2000,0.2,"uniform",402.45
2000,0.2,"uniform",372.05
2000,0.2,"uniform",382.1
2000,0.2,"uniform",384.56
2000,0.2,"uniform",359.19
2000,0.2,"uniform",360.09
2000,0.2,"uniform",389.65
2000,0.2,"uniform",393.15
2000,0.2,"uniform",387.9
2000,0.2,"uniform",363.42
2000,0.2,"uniform",381.75
2000,0.2,"uniform",388.24
2000,0.2,"uniform",375.23
2000,0.2,"uniform",386.28
2000,0.2,"uniform",363.27
2000,0.2,"uniform",389.41
2000,0.2,"uniform",368.01
2000,0.2,"uniform",377.36
2000,0.2,"uniform",365.21
2000,0.2,"uniform",397.25
2000,0.2,"uniform",383.13
2000,0.2,"uniform",410.21
2000,0.2,"uniform",408.45
2000,0.2,"uniform",404.8
2000,0.2,"uniform",364.32
2000,0.2,"uniform",391.43
50,0.3,"uniform",12.265306122449
50,0.3,"uniform",12.2268041237113
50,0.3,"uniform",12.2857142857143
50,0.3,"uniform",12.3061224489796
50,0.3,"uniform",12.2040816326531
50,0.3,"uniform",12.3434343434343
50,0.3,"uniform",12.3030303030303
